time,step-size,{inspector}.inspectorInstance.uav1goToNext,{inspector}.inspectorInstance.uav2goToNext,{inspector}.inspectorInstance.uav3goToNext,{inspector}.inspectorInstance.uav4goToNext,{uavCont}.controller1.onStation,{uavCont}.controller1.pitchOut,{uavCont}.controller1.rollOut,{uavCont}.controller1.throttleOut,{uavCont}.controller1.yawOut,{uavCont}.controller2.onStation,{uavCont}.controller2.pitchOut,{uavCont}.controller2.rollOut,{uavCont}.controller2.throttleOut,{uavCont}.controller2.yawOut,{uavCont}.controller3.onStation,{uavCont}.controller3.pitchOut,{uavCont}.controller3.rollOut,{uavCont}.controller3.throttleOut,{uavCont}.controller3.yawOut,{uavCont}.controller4.onStation,{uavCont}.controller4.pitchOut,{uavCont}.controller4.rollOut,{uavCont}.controller4.throttleOut,{uavCont}.controller4.yawOut,{uav}.uav1.batteryCharge,{uav}.uav1.currentPitch,{uav}.uav1.currentRoll,{uav}.uav1.currentYaw,{uav}.uav1.posX,{uav}.uav1.posY,{uav}.uav1.posZ,{uav}.uav1.velX,{uav}.uav1.velY,{uav}.uav1.velZ,{uav}.uav2.batteryCharge,{uav}.uav2.currentPitch,{uav}.uav2.currentRoll,{uav}.uav2.currentYaw,{uav}.uav2.posX,{uav}.uav2.posY,{uav}.uav2.posZ,{uav}.uav2.velX,{uav}.uav2.velY,{uav}.uav2.velZ,{uav}.uav3.batteryCharge,{uav}.uav3.currentPitch,{uav}.uav3.currentRoll,{uav}.uav3.currentYaw,{uav}.uav3.posX,{uav}.uav3.posY,{uav}.uav3.posZ,{uav}.uav3.velX,{uav}.uav3.velY,{uav}.uav3.velZ,{uav}.uav4.batteryCharge,{uav}.uav4.currentPitch,{uav}.uav4.currentRoll,{uav}.uav4.currentYaw,{uav}.uav4.posX,{uav}.uav4.posY,{uav}.uav4.posZ,{uav}.uav4.velX,{uav}.uav4.velY,{uav}.uav4.velZ
2.5,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6461.91625,0,0,13,26,180,0,10,0,0,6461.91625,0,0,13,-26,180,0,-10,0,0,6461.91625,0,0,13,0,180,26,0,0,10,6461.91625,0,0,13,0,180,-26,0,0,-10
2.7,0.2,1,1,1,1,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,0,0,-0.2,0.51,0,6459.284092,0,0,14,28,180,0,10,0,0,6459.284092,0,0,14,-28,180,0,-10,0,0,6459.284092,0,0,14,0,180,28,0,0,10,6459.284092,0,0,14,0,180,-28,0,0,-10
2.9,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6456.651471,0,0,15,30,180,0,10,0,0,6456.651471,0,0,15,-30,180,0,-10,0,0,6456.651471,0,0,15,0,180,30,0,0,10,6456.651471,0,0,15,0,180,-30,0,0,-10
3.1,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6454.254239,0,0,16,32,180,0,10,0,0,6454.254239,0,0,16,-32,180,0,-10,0,0,6454.254239,0,0,16,0,180,32,0,0,10,6454.254239,0,0,16,0,180,-32,0,0,-10
3.3,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6451.694181,0,0,17,34,180,0,10,0,0,6451.694181,0,0,17,-34,180,0,-10,0,0,6451.694181,0,0,17,0,180,34,0,0,10,6451.694181,0,0,17,0,180,-34,0,0,-10
3.5,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6449.075737,0,0,18,36,180,0,10,0,0,6449.075737,0,0,18,-36,180,0,-10,0,0,6449.075737,0,0,18,0,180,36,0,0,10,6449.075737,0,0,18,0,180,-36,0,0,-10
3.7,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6446.445873,0,0,19,38,180,0,10,0,0,6446.445873,0,0,19,-38,180,0,-10,0,0,6446.445873,0,0,19,0,180,38,0,0,10,6446.445873,0,0,19,0,180,-38,0,0,-10
3.9,0.2,1,1,1,1,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,0,0,0.2,0.51,0,6443.813715,0,0,20,40,180,0,10,0,0,6443.813715,0,0,20,-40,180,0,-10,0,0,6443.813715,0,0,20,0,180,40,0,0,10,6443.813715,0,0,20,0,180,-40,0,0,-10
4.1,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6441.181094,0,0,21,42,180,0,10,0,0,6441.181094,0,0,21,-42,180,0,-10,0,0,6441.181094,0,0,21,0,180,42,0,0,10,6441.181094,0,0,21,0,180,-42,0,0,-10
4.3,0.2,1,1,1,1,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,0,0,-0.2,0.37,0,6439.441926,0,0,22,44,180,0,10,0,0,6439.441926,0,0,22,-44,180,0,-10,0,0,6439.441926,0,0,22,0,180,44,0,0,10,6439.441926,0,0,22,0,180,-44,0,0,-10
